CASE_NUMBER,CASE_STATUS,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_START_DATE,EMPLOYMENT_END_DATE,EMPLOYER_NAME,EMPLOYER_BUSINESS_DBA,EMPLOYER_ADDRESS,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMP,CHANGE_EMPLOYER,AMENDED_PETITION,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H1B_DEPENDENT,WILLFUL_VIOLATOR,SUPPORT_H1B,LABOR_CON_AGREE,PUBLIC_DISCLOSURE_LOCATION,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,ORIGINAL_CERT_DATE
I-200-18060-517421,CERTIFIED,3/2/18,3/8/18,H-1B,8/28/18,8/27/21,VERIZON DATA SERVICES LLC,,600 HIDDEN RIDGE,IRVING,TX,75038,UNITED STATES OF AMERICA,,9724577132,,Y,TAYLOR_ KRISTI,ADDISON,TX,MEMBER TECHNICAL STAFF CONSULTANT-SYSTEMS ENGINEERING,15-1142,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,51791,1,1,0,0,0,0,0,Y,"81,780.00",Year,N/A,Other,2017,2017 US MBD - MERCER/GARTNER INFORMATION TECHNOLOGY,"84,564.00",0,Year,N,N,NA,,,IRVING,DALLAS,TX,75038,
I-200-18025-163902,CERTIFIED,3/5/18,3/9/18,H-1B,9/1/18,8/30/21,SUNRISE BOULEVARD LLC,,128 LINCOLN ST.,BOSTON,MA,2111,UNITED STATES OF AMERICA,,6176950281,,Y,KORNFELD_ MONIQUE,NEWTON,MA,BUSINESS DEVELOPMENT SPECIALIST,13-1161,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,561520,1,0,1,0,0,0,0,Y,"50,700.00",Year,N/A,Other,2017,WILLIS TOWERS WATSON: CSR GENERAL INDUS PROF'L (ADMIN & SALES) COMP SURVEY REP,"50,700.00",0,Year,N,N,NA,,,BOSTON,SUFFOLK,MA,2111,
I-200-18058-501771,CERTIFIED,3/5/18,3/9/18,H-1B,9/1/18,8/31/21,MODNE_ INC.,N/A,13915 CERRITOS CORPORATE DR.,CERRITOS,CA,90703,UNITED STATES OF AMERICA,N/A,5625513999,,Y,JI_ SUNGJIN,BUENA PARK,CA,MARKET ANALYST,13-1161,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,454111,1,1,0,0,0,0,0,N,17.9,Hour,Level I,OES,2017,OFLC ONLINE DATA CENTER,17.9,0,Hour,N,N,NA,,,CERRITOS,LOS ANGELES,CA,90703,
I-200-18062-732579,DENIED,3/5/18,3/7/18,H-1B,9/4/18,9/3/21,CORBINS SERVICE ELECTRIC_ LLC,,4829 S. 38TH STREET,PHOENIX,AZ,85040,UNITED STATES OF AMERICA,,6027946045,,Y,PACE_ JULIE,PHOENIX,AZ,VC CONSTRUCTION FIELD ENGINEER,17-3011,ARCHITECTURAL AND CIVIL DRAFTERS,23821,1,1,0,0,0,0,0,Y,23.68,Hour,Level II,OES,2017,OFLC ONLINE DATA CENTER,25,25,Hour,N,N,NA,Y,,PHOENIX,MARICOPA,AZ,85040,
I-200-18064-452947,CERTIFIED,3/5/18,3/9/18,H-1B,9/1/18,9/1/21,THERAVANCE BIOPHARMA U.S._ INC.,THERAVANCE BIOPHARMA,901 GATEWAY BLVD,SOUTH SAN FRANCISCO,CA,94080,UNITED STATES OF AMERICA,N/A,6508086000,N/A,Y,CHEHRAZI_ ATESSA,SAN FRANCISCO,CA,RESEARCH ASSOCIATE I,19-1021,BIOCHEMISTS AND BIOPHYSICISTS,541710,1,1,0,0,0,0,0,Y,"67,879.00",Year,N/A,Other,2018,RADFORD GLOBAL LIFE SCIENCES SURVEY,"73,093.00","73,093.00",Year,N,N,NA,,,SOUTH SAN FRANCISCO,SAN MATEO,CA,94080,
I-200-18052-148426,CERTIFIED,3/2/18,3/8/18,H-1B,8/21/18,8/21/21,YORK RISK SERVICES GROUP_ INC.,,ONE UPPER POND ROAD,PARSIPPANY,NJ,7054,UNITED STATES OF AMERICA,,9734041200,,Y,WALKER_ LIN,NEWARK,NJ,FINANCIAL ANALYST,13-2051,FINANCIAL ANALYSTS,524298,1,1,0,0,0,0,0,Y,"58,597.00",Year,N/A,Other,2017,US MBD MERCER BENCHMARK DATABASE SURVEY,"58,600.00",0,Year,N,N,NA,Y,,JERSEY CITY,HUDSON,NJ,7310,
I-200-18046-812034,CERTIFIED,2/24/18,3/1/18,H-1B,8/16/18,8/15/21,VISA TECHNOLOGY & OPERATIONS LLC,,900 METRO CENTER BOULEVARD,FOSTER CITY,CA,94404,UNITED STATES OF AMERICA,,6504323200,,Y,WESTGARD_ DANIELLE,DALLAS,TX,SR. SOFTWARE ENGINEER,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,522320,1,1,0,0,0,0,0,Y,"126,539.00",Year,N/A,Other,2017,RADFORD GLOBAL TECHNOLOGY SURVEY,"126,539.00","134,700.00",Year,N,N,NA,Y,,PALO ALTO,SANTA CLARA,CA,94306,
I-200-18060-415888,CERTIFIED,3/2/18,3/8/18,H-1B,9/1/18,8/31/21,RIVERBED TECHNOLOGY_ INC.,,525 ALMANOR AVE.,SUNNYVALE,CA,94085,UNITED STATES OF AMERICA,,4086646434,,Y,NGUYEN_ CHRISTY,SAN FRANCISCO,CA,MEMBER OF TECHNICAL STAFF (SOFTWARE ENGINEER),15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,51121,1,1,0,0,0,0,0,Y,"110,287.00",Year,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,"110,287.00","115,000.00",Year,N,N,NA,Y,,SUNNYVALE,SANTA CLARA,CA,94085,
I-200-18058-534536,CERTIFIED,3/1/18,3/7/18,H-1B,8/1/18,8/1/21,CISCO SYSTEMS_ INC.,,170 WEST TASMAN DRIVE,SAN JOSE,CA,95134,UNITED STATES OF AMERICA,,4085264000,,Y,RUSH_ ANDREA,SANTA CLARA,CA,FINANCE MANAGER,Nov-31,FINANCIAL MANAGERS,334111,10,2,2,2,0,2,2,Y,"123,363.00",Year,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,"123,363.00","167,500.00",Year,N,N,NA,Y,,SAN JOSE,SANTA CLARA,CA,95134,
I-200-18064-607372,DENIED,3/5/18,3/9/18,H-1B,3/5/18,3/4/21,BIRLASOFT INC,N/A,399 THORNALL STREET,EDISON,NJ,8837,UNITED STATES OF AMERICA,N/A,7328579687,,Y,CHOWDHURY_ ANINDITA,POTOMAC,MD,SYSTEMS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,10,2,2,2,0,0,2,Y,"75,046.00",Year,Level II,OES,2018,OFLC ONLINE DATA CENTER,"75,046.00",0,Year,Y,N,Y,Y,,CHICAGO,COOK,IL,60606,
I-200-18060-502400,DENIED,3/5/18,3/6/18,H-1B,8/31/18,8/30/21,CUMMINS INC.,,2931 ELM HILL PIKE,NASHVILLE,TN,37214,UNITED STATES OF AMERICA,,6159862590,,Y,PETERSON-ROSS_ CHERI,CHICAGO,IL,FUNCTIONAL EXCELLENCE SPECIALIST - PURCHASING,15-2031,OPERATIONS RESEARCH ANALYSTS,3336,2,2,0,0,0,0,0,Y,"56,784.00",Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,"56,784.00","75,000.00",Year,N,N,NA,,,COLUMBUS,BARTHOLOMEW,IN,47201,
I-200-18046-166690,CERTIFIED,3/3/18,3/8/18,H-1B,8/11/18,8/10/21,NTT DATA_ INC.,N/A,100 CITY SQUARE,BOSTON,MA,2129,UNITED STATES OF AMERICA,,6.17517E+11,,Y,DROZDOWSKI_ ANDREW,RALEIGH,NC,APPLICATION SOFTWARE DEVELOPMENT CONSULTANT,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,541511,1,1,0,0,0,0,0,Y,"75,717.00",Year,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,"75,717.00","105,717.00",Year,N,N,NA,Y,,CHARLOTTE,MECKLENBURG,NC,28262,
I-200-18043-238063,CERTIFIED,3/1/18,3/7/18,H-1B,8/28/18,8/27/21,SUMITOMO MITSUI BANKING CORPORATION,N/A,277 PARK AVENUE,NEW YORK,NY,10172,UNITED STATES OF AMERICA,N/A,2122244238,,Y,DUNN_ MATTHEW,NEW YORK,NY,REGULATORY REPORTING ACCOUNTANT II,13-2011,ACCOUNTANTS AND AUDITORS,522110,1,1,0,0,0,0,0,Y,"53,000.00",Year,N/A,Other,2017,WILLIS TOWERS WATSON 2017 CSR PROFESSIONAL (ADMIN AND SALES) COMP SURVEY REPOR,"55,000.00","65,000.00",Year,N,N,NA,,,JERSEY CITY,HUDSON,NJ,7311,
I-200-18059-053652,CERTIFIED,3/1/18,3/7/18,H-1B,8/30/18,8/29/21,GOOGLE LLC,N/A,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,94043,UNITED STATES OF AMERICA,N/A,6502534513,,Y,KLAUDT_ KYLE,DALLAS,TX,SOFTWARE ENGINEER (1615.33573),15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,541512,1,1,0,0,0,0,0,Y,"125,000.00",Year,N/A,Other,2017,RADFORD GLOBAL TECHNOLOGY SURVEY,"138,000.00",0,Year,N,N,NA,,,SUNNYVALE,SANTA CLARA,CA,94089,
I-200-18048-103894,CERTIFIED,3/3/18,3/8/18,H-1B,8/11/18,8/10/21,NTT DATA SERVICES_ LLC.,N/A,100 CITY SQUARE,BOSTON,MA,2129,UNITED STATES OF AMERICA,N/A,6.17517E+11,,Y,DROZDOWSKI_ ANDREW,RALEIGH,NC,DATABASE ADMINISTRATION ADVISOR,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,541511,1,1,0,0,0,0,0,Y,"116,802.00",Year,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,"116,802.00","146,802.00",Year,N,N,NA,Y,,IRVING,DALLAS,TX,75063,
I-200-18059-365500,CERTIFIED,2/28/18,3/6/18,H-1B,7/1/18,6/30/20,UNIVERSITY OF CALIFORNIA AT SANTA BARBARA,,UNIVERSITY OF CALIFORNIA_ SANTA BARBARA,SANTA BARBARA,CA,93106,UNITED STATES OF AMERICA,,8058932097,,N,_,,,ASSOCIATE SPECIALIST,19-2012,PHYSICISTS,611310,1,1,0,0,0,0,0,Y,"45,718.00",Year,Level I,OES,2018,,"68,125.00",0,Year,N,N,NA,Y,,SANTA BARBARA,SANTA BARBARA,CA,93106,
I-200-18048-365136,CERTIFIED,3/3/18,3/8/18,H-1B,8/11/18,8/10/21,NTT DATA SERVICES_ LLC.,N/A,100 CITY SQUARE,BOSTON,MA,2129,UNITED STATES OF AMERICA,N/A,6.17517E+11,,Y,DROZDOWSKI_ ANDREW,RALEIGH,NC,SOFTWARE DEVELOPMENT ADVISOR,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,541511,1,1,0,0,0,0,0,Y,"116,802.00",Year,N/A,Other,2017,RADFORD GLOBAL TECHNOLOGY SURVEY,"116,802.00","146,802.00",Year,N,N,NA,Y,,IRVING,DALLAS,TX,75063,
I-200-18064-382590,DENIED,3/5/18,3/7/18,H-1B,7/1/18,6/30/20,NATIONWIDE CHILDREN'S HOSPITAL,N/A,700 CHILDREN'S DRIVE,COLUMBUS,OH,43205,UNITED STATES OF AMERICA,N/A,6147228485,,N,_,,,INFECTIOUS DISEASE FELLOW,29-1069,PHYSICIANS AND SURGEONS_ ALL OTHER,622110,1,0,1,0,0,0,0,Y,"66,563.00",Year,N/A,Other,2016,AAMC SURVEY OF RESIDENT/FELLOW STIPENDS AND BENEFITS,"68,149.04",0,Year,N,N,NA,,,COLUMBUS,OHIO,OH,43205,
I-200-18054-353955,CERTIFIED,3/2/18,3/8/18,H-1B,8/23/18,8/22/21,APPLIED MATERIALS_ INC.,AMAT,3225 OAKMEAD VILLAGE DR.,SANTA CLARA,CA,95054,UNITED STATES OF AMERICA,N/A,4087275555,N/A,Y,GONZAGA_ CHRISTINA,SAN FRANCISCO,CA,PROCESS ENGINEER,17-2131,MATERIALS ENGINEERS,33441,25,25,0,0,0,0,0,Y,"112,235.00",Year,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,"112,235.00","138,302.00",Year,N,N,NA,,,SANTA CLARA,SANTA CLARA,CA,95054,
I-200-18049-016562,DENIED,3/3/18,3/7/18,H-1B,8/18/18,8/17/21,NTT DATA_ INC.,N/A,100 CITY SQAURE,BOSTON,MA,2129,UNITED STATES OF AMERICA,,6175171483,,Y,DALAL_ AMY,RALEIGH,NC,DELIVERY SENIOR CONSULTANT,15-1199,COMPUTER OCCUPATIONS_ ALL OTHER,541511,1,1,0,0,0,0,0,Y,"79,394.00",Hour,Level III,OES,2017,OFLC ONLINE DATA CENTER,"79,394.00","109,394.00",Year,N,N,NA,Y,,TEMPE,MARICOPA,AZ,85284,
I-200-18017-913617,WITHDRAWN,3/1/18,3/7/18,H-1B,8/27/18,8/27/21,AMAZON.COM SERVICES_ INC.,N/A,2021 7TH AVENUE,SEATTLE,WA,98121,UNITED STATES OF AMERICA,N/A,2062661000,,Y,GROBAN_ JR._ ROBERT,NEW YORK,NY,SENIOR PRODUCT MANAGER,Nov-21,MARKETING MANAGERS,454111,1,1,0,0,0,0,0,Y,"116,204.00",Year,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY 2018,"137,000.00",0,Year,N,N,NA,Y,,SEATTLE,KING,WA,98109,
I-200-18064-600099,CERTIFIED,3/5/18,3/9/18,H-1B,7/15/18,7/14/21,CHARLES COLE MEMORIAL HOSPITAL,N/A,1001 EAST SECOND STREET,COUDERSPORT,PA,16915-8161,UNITED STATES OF AMERICA,N/A,8142747101,,Y,CASTRODALE_ ALEXANDER,PITTSBURGH,PA,HOSPITALIST,29-1069,PHYSICIANS AND SURGEONS_ ALL OTHER,6221,1,0,0,0,1,0,0,Y,117.9,Hour,Level III,OES,2018,OFLC ONLINE DATA CENTER,132.12,0,Hour,N,N,NA,Y,,COUDERSPORT,POTTER,PA,16915-8161,
I-200-18058-012345,CERTIFIED,3/2/18,3/8/18,H-1B,3/12/18,3/12/21,FACEBOOK_ INC.,,1 HACKER WAY,MENLO PARK,CA,94025,UNITED STATES OF AMERICA,,4085335781,,Y,RICHARD_ NICOLE,SAN FRANCISCO,CA,SOFTWARE ENGINEER,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,518112,1,0,0,0,0,1,0,Y,"140,376.00",Year,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,"150,000.00",0,Year,Y,N,Y,,,MENLO PARK,SAN MATEO,CA,94025,
I-200-18059-094726,CERTIFIED,3/4/18,3/8/18,H-1B,8/28/18,8/28/21,BANK OF AMERICA N.A.,N/A,401 N TRYON STREET,CHARLOTTE,NC,28255,UNITED STATES OF AMERICA,,9806836779,,Y,ATASSI_ ISHA,NEW YORK,NY,VICE PRESIDENT; CONSULTANT - APPS PROG,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,522110,1,1,0,0,0,0,0,Y,"79,280.00",Year,N/A,Other,2017,MERCER BENCHMARK DATABASE SURVEY,"112,000.00",0,Year,N,N,NA,,,CHARLOTTE,MECKLENBURG,NC,28255,
I-200-18059-474997,CERTIFIED,3/4/18,3/8/18,H-1B,8/28/18,8/27/21,GOOGLE LLC,,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,94043,UNITED STATES OF AMERICA,,6502534513,,Y,JENSEN_ KEITH,DALLAS,TX,SOFTWARE ENGINEER (1615.24086),15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,541512,1,1,0,0,0,0,0,Y,"106,983.00",Year,N/A,Other,2017,RADFORD GLOBAL TECHNOLOGY SURVEY,"119,000.00",0,Year,N,N,NA,,,MOUNTAIN VIEW,SANTA CLARA,CA,94043,
I-203-18059-886967,DENIED,3/1/18,3/6/18,E-3 Australian,3/19/18,3/18/20,APPLE INC.,,ONE INFINITE LOOP,CUPERTINO,CA,95014,UNITED STATES OF AMERICA,,4089742562,,Y,BAHNAN_ NADINE,SAN FRANCISCO,CA,MAPS EVALUATION SOFTWARE ENGINEER,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,334111,1,1,0,0,0,0,0,Y,"155,147.00",Year,Level IV,OES,2017,OFLC ONLINE DATA CENTER,"155,000.00","175,000.00",Year,,,,,,CUPERTINO,SANTA CLARA,CA,95014,
